branch;root
0102;0105
0103;0106
0113;
0114;
0115;
0116;
0117;
0130;
0131;
0133;
0134;
0401;
0414;
0435;
0518;
0601;
0703;
0705;0704
0706;0710
0707;0709
0708;
0712;0709
0715;
0717;
0718;
0721;
0724;
0725;
0726;
0727;
0729;
0903;0906
0918;
0920;
0921;
0922;
0923;
0924;
0932;
0933;
1154;
1159;
1214;
1230;
1248;
1249;
1250;
1255;
1448;
1501;
1503;1505
1527;1523
1556;
1569;1576
1572;
5001;
5004;
5005;
5011;
5012;
5013;
5014;
5015;
5016;
5017;
5018;
5019;
5020;
5021;
5022;
5023;
5024;
5025;
5026;
5027;
5028;
5029;
5030;
5031;
5032;
5033;
5034;
5035;
5036;
5037;
5038;
5039;
5040;
5041;
5042;
5043;
5044;
5045;
5046;
5047;
5048;
5049;
5050;
5051;
5052;
5053;
5054;
5061;
1645;
1729;1756
1814;1813
1842;
1843;
1855;
1858;1874
1901;1903
1921;1923
2001;2004
2016
â€‹
